
,aX,aY,aZ,gX,gY,gZ,roll,pitch,yaw,vi
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-36.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-36.64,31.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-35.64,31.02,10.64,1.07,-0.09,0.7,71.74,-73.74,0.0,0.0
4,-35.64,30.76,9.37,1.07,0.71,0.94,72.65,-73.74,-7.72,-0.31
5,-35.64,30.76,9.37,0.87,0.71,0.94,72.65,-75.15,-7.72,-0.31
6,-37.29,31.43,9.37,0.87,0.09,0.94,72.65,-75.15,-7.5,-0.31
7,-37.29,31.43,10.45,0.87,0.09,1.21,71.78,-75.15,-7.5,0.02
8,-38.16,31.43,10.45,1.06,-0.23,1.21,71.78,-74.27,-7.5,0.02
9,-38.16,31.37,10.45,1.06,-0.23,0.23,71.78,-74.27,-7.32,0.02
10,-38.16,31.37,10.35,1.06,-0.23,0.23,71.65,-74.27,-7.32,0.34
11,-37.36,31.37,10.35,0.83,-0.23,0.23,71.65,-74.35,-7.32,0.34
12,-37.36,31.5,10.35,0.83,-0.11,-0.38,71.65,-74.35,-7.28,-0.25
13,-37.36,31.5,9.97,0.32,-0.11,-0.38,72.15,-74.35,-7.28,-0.25
14,-34.18,31.5,9.97,0.32,0.48,-0.38,72.15,-74.83,-7.28,-0.25
15,-34.18,30.41,9.97,0.32,0.48,-1.42,72.15,-74.83,-7.4,0.42
16,-34.18,30.41,9.05,0.32,0.48,-1.42,73.12,-74.83,-7.4,0.42
17,-31.01,30.41,9.05,0.97,1.54,-1.42,73.12,-75.41,-7.4,0.42
18,-31.01,29.31,9.05,0.97,1.54,0.75,73.12,-75.41,-7.54,0.42
19,-31.01,29.31,6.07,3.72,1.54,0.75,76.79,-75.41,-7.54,0.62
20,-17.48,29.31,6.07,3.72,7.62,0.75,76.79,-76.14,-7.54,0.62
21,-17.48,23.57,6.07,3.72,7.62,8.87,76.79,-76.14,-7.09,2.15
22,-17.48,23.57,2.96,3.72,7.62,8.87,81.81,-76.14,-7.09,2.15
23,-11.25,23.57,2.96,9.22,7.22,8.87,81.81,-79.19,-7.09,2.15
24,-11.25,18.59,2.96,9.22,7.22,33.59,81.81,-79.19,-5.19,2.15

0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-37.45,31.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-37.08,31.31,8.86,0.86,-0.04,1.17,74.11,-76.35,0.0,0.0
4,-37.08,30.5,8.08,0.86,-0.28,1.45,75.05,-76.35,8.49,-0.21
5,-36.92,30.5,8.08,1.11,0.45,1.45,75.05,-78.11,8.49,-0.21
6,-36.92,31.13,8.08,1.11,0.45,1.19,75.05,-78.11,8.72,-0.21
7,-36.92,31.13,9.07,1.59,0.45,1.19,74.19,-78.11,8.72,-0.58
8,-37.08,31.13,9.07,1.59,0.82,1.19,74.19,-76.52,8.91,-0.58
9,-37.08,31.51,9.07,1.59,0.82,2.0,74.19,-76.52,8.91,-0.58
10,-37.08,31.51,9.94,1.41,0.82,2.0,73.11,-76.52,8.91,-0.93
11,-38.24,31.51,9.94,1.41,-1.14,2.0,73.11,-75.72,8.91,-0.93
12,-38.24,31.93,9.94,1.41,-1.14,1.41,73.11,-75.72,9.22,-0.23
13,-38.24,31.93,8.98,0.89,-1.14,1.41,74.91,-77.76,9.22,-0.23
14,-37.85,31.93,8.98,0.89,-0.96,1.41,74.91,-77.76,9.22,-0.23
15,-37.85,29.98,8.98,0.89,-0.96,-0.08,74.91,-77.76,9.4,-0.23
16,-37.85,29.98,7.34,0.89,-0.96,-0.08,76.68,-77.76,9.4,-0.17
